Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,Omega 3 fatty acid(in grams)
Asparagus Cooked,0,1,1, ,22,0.2,2.4,0.91,23,14,224,4.1,2,0,1.3,2.62
Avocados,1,0,0,0,160,15,2,0.55,12,7,485,8.5,6.7,0,0.7,0.1
Bananas,1,0,0,0,89,0.3,1.1,0.26,5,1,358,23,2.6,0,12,0
Bagels made in wheat,0,1,1,0,250,1.5,10,2.76,20,439,165,49,4.1,0,6.1,0.02
Berries,1,0,0,0,349,0.4,14,6.8,190,298,77,77,13,0,46,0.4
Brocolli,0,1,1,0,25,0.5,3.8,1.27,118,56,343,3.1,2.8,0,0.6,0.2
Brown Rice,0,1,1,0,362,2.7,7.5,1.8,33,4,268,76,3.4,0,0,0
Cauliflower,0,1,1,0,32,0.3,3,0.72,32,259,278,6.3,3.3,0,0,0.3
American cheese,1,0,0,0,331,24,20,0.84,497,966,363,8.3,0,0,0,4
Coffee,1,0,0,0,2,0,0.3,0.02,2,1,50,0.2,0,0,0,0
Corn,1,1,1,0,97,1.4,3.3,0.55,2,253,3.3,22,2.7,0,7.7,0.46
Dark chocolates,0,0,1,0,556,32,5.5,2.13,30,6,502,60,6.5,0,48,0.01
Grapes,1,0,0,0,93,2.1,5.6,2.63,363,9,272,17,11,0,6.3,0.05
Milk,1,0,1,0,97,6.9,3.8,0.12,169,52,178,5.2,0,0,0,0.05
Cashew Nuts,1,0,0,0,553,44,18,6.68,37,12,660,30,3.3,0,5.9,0.14
Onions,0,1,1,0,40,0.1,1.1,0.21,23,4,146,9.3,1.7,0,4.2,0.004
Orange,1,0,0,0,97,0.2,1.5,0.8,161,3,212,25,11,0,0,0
Pasta canned with tomato sauce,0,1,1,0,71,0.7,2.2,0.91,13,381,192,14,0.9,0,4,0.03
Pears,1,0,0,0,57,0.1,0.4,0.18,9,1,116,15,3.1,0,9.8,0
Peas,0,1,1,0,81,0.4,5.4,1.47,25,5,244,14,5.7,0,5.7,0.03
Protein Powder,1,0,0,0,411,17,46,8.57,500,329,1129,19,7.1,200,5.7,0.13
Pumpkin,0,1,1,0,18,0.1,0.7,0.57,15,237,230,4.3,1.1,0,2.1,4.9
Tuna Salad,0,1,1,1,187,9.3,16,1,17,402,178,9.4,0,0,0,1.2
Tuna Fish,0,0,1,1,184,6.3,30,1.31,10,50,323,0,0,0,0,1.2
Peproni Pizza,0,0,1,0,298,14,12,2.14,146,692,199,30,1.8,0,3.2,20
Cheese Pizza,0,0,1,0,276,11,11,2.47,192,580,170,33,2.1,0,2.5,20
French Fries,0,1,1,0,289,14,3.5,0.91,17,357,545,37,3.9,0,0.3,5
Chicken Burger,0,1,1,1,292,15,18,0.62,13,859,315,20,1.3,0,0,0.3
Cheese Burger,0,1,1,0,256,12,13,2.78,92,660,178,25,1.4,0,0,0.3
Chicken Sandwich,0,1,1,1,257,12,15,1.32,92,605,256,23,1.2,0,5,0.03
Sugar Doughnuts,0,1,1,0,426,23,5.2,1.06,60,402,102,51,1.5,0,32,0.1
Chocolate Doughnuts,0,1,1,0,452,25,4.9,4,24,326,201,51,1.9,0,27,0.01
Pop Corn - Caramel,1,0,1,0,381,1.4,2,0.8,18,286,110,90,2.5,0,65,0.4
Pop Corn,1,0,1,0,429,9.5,13,2.28,11,490,241,73,14,0,0.5,0.4
Dosa,1,1,1,0,168,3.7,4.5,8,0.7,94,76,29,0.9,0,0.1,0
